"1","Hocus Pocus","Magic Hat","South Burlington","Vermont"
"3","Widdershins Barleywine","Left Hand Brewing Compan","Longmont","Colorado"
"9","Espresso Porter","Empyrean Brewing Company","Lincoln","Nebraska"
"12","JuJu Ginger","Left Hand Brewing Compan","Longmont","Colorado"
"15","Oak-Aged Belgian Tripel","Upstream Brewing Company","Omaha","Nebraska"
"18","Old Foghorn 2001","Anchor Brewing","San Francisco","California"
"20","Cow Palace Scotch Ale 19","Egan Brewing","De Pere","Wisconsin"
"26","Winter Ale","Summit Brewing","Saint Paul","Minnesota"
"28","Odell IPA","Odell Brewing","Fort Collins","Colorado"
"29","Ornery Amber Lager","Tommyknocker Brewery and","Idaho Springs","Colorado"
"30","Cutthroat Porter","Odell Brewing","Fort Collins","Colorado"
"31","Maple Nut Brown Ale Ale","Tommyknocker Brewery and","Idaho Springs","Colorado"
"32","Cocoa Porter","Tommyknocker Brewery and","Idaho Springs","Colorado"
"37","Winter Cheer","Spanish Peaks Brewing","Polson","Montana"
"43","Maracaibo Especial","Jolly Pumpkin Artisan Al","Dexter","Michigan"
"45","Calabaza Blanca","Jolly Pumpkin Artisan Al","Dexter","Michigan"
"46","Porter","Nebraska Brewing Company","Papillion","Nebraska"
"47","Cardinal Pale Ale","Nebraska Brewing Company","Papillion","Nebraska"
"49","Bridal Ale 2005","Pelican Pub & Brewery","Pacific City","Oregon"
"53","Red Sled Winter Ale","Nebraska Brewing Company","Papillion","Nebraska"
"57","Obovoid Empirical Stout","Boulder Beer Company","Boulder","Colorado"
"58","Furious Beer","Surly Brewing","Brooklyn Center","Minnesota"
"59","Bender Beer","Surly Brewing","Brooklyn Center","Minnesota"
"60","Oak Aged Ebenezer","Upstream Brewing Company","Omaha","Nebraska"
"61","Killer Penguin","Boulder Beer Company","Boulder","Colorado"
"62","Oatmeal Stout","Breckenridge Brewery","Denver","Colorado"
"63","Isolation Ale","Odell Brewing","Fort Collins","Colorado"
"64","Festive Ale 2007","Empyrean Brewing Company","Lincoln","Nebraska"
"65","Bourbon County Stout 200","Goose Island Beer Compan","Chicago","Illinois"
"68","Big Shot Seasonal Ale","New Belgium Brewing","Fort Collins","Colorado"
"70","Harvest Ale 2007","Sierra Nevada Brewing Co","Chico","California"
"71","Nut Cracker Ale","Boulevard Brewing Compan","Kansas City","Missouri"
"72","Goosinator Smoked Doppel","Left Hand Brewing Compan","Longmont","Colorado"
"73","Snow Bound Winter Ale","Left Hand Brewing Compan","Longmont","Colorado"
"74","Warrior IPA","Left Hand Brewing Compan","Longmont","Colorado"
"81","Never Summer Ale","Boulder Beer Company","Boulder","Colorado"
"82","Modern Monks Belgian Blo","Thunderhead Brewery #2","Grand Island","Nebraska"
"83","Grand Cru","Thunderhead Brewery #2","Grand Island","Nebraska"
